epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.96527,3.24859,5.31422,1.46773,0,0,0,0,3.07742,4.68753,1.69291,0.000648649,0.000648649,0.000648649
2,11.3847,3.65604,5.59685,1.77669,0,0,0,0,3.13973,4.49543,1.79838,0.00131097,0.00131097,0.00131097
3,16.9585,3.16973,5.24555,1.70082,0,0,0,0,3.1591,4.55525,1.78815,0.0019689,0.0019689,0.0019689
4,22.6427,3.15527,5.25862,1.52598,0,0,0,0,3.1591,4.55525,1.78815,0.0019802,0.0019802,0.0019802
5,28.3423,3.77067,5.64678,1.89353,0.00019,0.04255,0.0001,1e-05,3.07606,4.64531,1.74365,0.0019736,0.0019736,0.0019736
6,34.0115,3.47774,5.5489,1.92618,0.00036,0.02128,0.0002,4e-05,4.73798,261.391,2.53269,0.001967,0.001967,0.001967
7,39.6353,3.93435,6.56967,1.30977,0.00036,0.02128,0.0002,4e-05,4.73798,261.391,2.53269,0.0019604,0.0019604,0.0019604
8,45.4064,3.3191,5.96922,1.29373,0.00027,0.06383,0.00015,3e-05,3.71924,6.53172,1.83446,0.0019538,0.0019538,0.0019538
9,51.1737,3.18177,5.26207,1.68377,0.00027,0.06383,0.00015,3e-05,3.71924,6.53172,1.83446,0.0019472,0.0019472,0.0019472
10,56.752,2.88645,4.81193,1.45838,0.14455,0.21277,0.09989,0.01499,3.34572,3.75195,1.70598,0.0019406,0.0019406,0.0019406
11,62.3297,3.14462,4.60747,1.61808,0.14455,0.21277,0.09989,0.01499,3.34572,3.75195,1.70598,0.001934,0.001934,0.001934
12,67.9258,2.38925,4.13746,1.20518,0.60438,0.10638,0.24198,0.08423,2.08746,3.23789,1.19566,0.0019274,0.0019274,0.0019274
13,73.4021,2.45238,3.79477,1.20937,0.88206,0.42553,0.55466,0.10599,2.01284,3.57173,1.13731,0.0019208,0.0019208,0.0019208
14,78.8961,2.46987,3.8791,1.19473,0.88206,0.42553,0.55466,0.10599,2.01284,3.57173,1.13731,0.0019142,0.0019142,0.0019142
